coordinate_x,coordinate_y,coordinate_z,y_probe
-80.26,56.2,20.0,439.25
-84.85,48.99,20.0,439.18
-88.8,41.41,20.0,438.94
-92.07,33.51,20.0,438.84
-94.64,25.36,20.0,438.7
-96.49,17.01,20.0,438.67
-97.61,8.54,20.0,438.53
-97.98,0.0,20.0,438.53
-97.61,-8.54,20.0,438.58
-96.49,-17.01,20.0,438.46
-94.64,-25.36,20.0,438.53
-92.07,-33.51,20.0,438.63
-88.8,-41.41,20.0,438.77
-84.85,-48.99,20.0,438.88
-80.26,-56.2,20.0,439.06
-75.06,-62.98,20.0,439.22
-69.28,-69.28,20.0,439.44
-62.98,-75.06,20.0,439.53
-56.2,-80.26,20.0,439.73
-48.99,-84.85,20.0,439.8
-41.41,-88.8,20.0,440.02
-33.51,-92.07,20.0,440.16
-25.36,-94.64,20.0,440.21
-17.01,-96.49,20.0,440.24
-8.54,-97.61,20.0,440.22
0.0,-97.98,20.0,440.24
8.54,-97.61,20.0,440.24
17.01,-96.49,20.0,440.23
25.36,-94.64,20.0,440.18
33.51,-92.07,20.0,440.11
41.41,-88.8,20.0,440.0
48.99,-84.85,20.0,439.85
56.2,-80.26,20.0,439.67
62.98,-75.06,20.0,439.55
69.28,-69.28,20.0,439.25
75.06,-62.98,20.0,439.16
80.26,-56.2,20.0,438.98
84.85,-48.99,20.0,438.83
88.8,-41.41,20.0,438.62
92.07,-33.51,20.0,438.58
94.64,-25.36,20.0,438.53
96.49,-17.01,20.0,438.48
97.61,-8.54,20.0,438.41
95.39,0.0,30.0,438.12
94.87,9.97,30.0,438.16
93.31,19.83,30.0,438.28
90.72,29.48,30.0,438.37
87.14,38.8,30.0,438.46
82.61,47.69,30.0,438.73
77.17,56.07,30.0,438.98
70.89,63.83,30.0,439.18
63.83,70.89,30.0,439.4
56.07,77.17,30.0,439.59
47.7,82.61,30.0,439.75
38.8,87.14,30.0,439.88
29.48,90.72,30.0,440.03
19.83,93.31,30.0,440.1
9.97,94.87,30.0,440.18
0.0,95.39,30.0,440.18
-9.97,94.87,30.0,440.2
-19.83,93.31,30.0,440.16
-29.48,90.72,30.0,440.1
-38.8,87.14,30.0,439.97
-47.69,82.61,30.0,439.8
-56.07,77.17,30.0,439.57
-63.83,70.89,30.0,439.42
-70.89,63.83,30.0,439.16
-77.17,56.07,30.0,438.88
-82.61,47.69,30.0,438.79
-87.14,38.8,30.0,438.63
-90.72,29.48,30.0,438.49
-93.31,19.83,30.0,438.27
-94.87,9.97,30.0,438.2
-95.39,0.0,30.0,438.16
-94.87,-9.97,30.0,438.2
-93.31,-19.83,30.0,438.28
-90.72,-29.48,30.0,438.3
-87.14,-38.8,30.0,438.48
-82.61,-47.7,30.0,438.54
-77.17,-56.07,30.0,438.67
-70.89,-63.83,30.0,438.99
-63.83,-70.89,30.0,439.06
-56.07,-77.17,30.0,439.28
-47.7,-82.61,30.0,439.48
-38.8,-87.14,30.0,439.6
-29.48,-90.72,30.0,439.79
-19.83,-93.31,30.0,439.8
-9.97,-94.87,30.0,439.78
0.0,-95.39,30.0,439.75
9.97,-94.87,30.0,439.73
19.83,-93.31,30.0,439.7
29.48,-90.72,30.0,439.52
38.8,-87.14,30.0,439.56
47.7,-82.61,30.0,439.35
56.07,-77.17,30.0,439.17
63.83,-70.89,30.0,439.07
70.89,-63.83,30.0,438.86
77.17,-56.07,30.0,438.72
82.61,-47.7,30.0,438.49
87.14,-38.8,30.0,438.34
90.72,-29.48,30.0,438.15
93.31,-19.83,30.0,438.18
94.87,-9.97,30.0,438.08
91.65,0.0,40.0,437.66
91.15,9.58,40.0,437.68
89.65,19.06,40.0,437.8
87.16,28.32,40.0,437.9
83.73,37.28,40.0,438.05
79.37,45.82,40.0,438.27
74.15,53.87,40.0,438.54
68.11,61.33,40.0,438.77
61.33,68.11,40.0,438.88
53.87,74.15,40.0,439.17
45.83,79.37,40.0,439.31
37.28,83.73,40.0,439.39
28.32,87.16,40.0,439.54
19.06,89.65,40.0,439.61
9.58,91.15,40.0,439.7
0.0,91.65,40.0,439.71
-9.58,91.15,40.0,439.73
-19.06,89.65,40.0,439.63
-28.32,87.16,40.0,439.49
